title,genres
'76,"['drama', 'romance']"
'83,"['biography', 'drama', 'history', 'sport']"
10 Cloverfield Lane,"['drama', 'horror', 'mystery', 'sci-fi', 'thriller']"
"10,000 B.C.","['action', 'adventure', 'drama', 'fantasy', 'history']"
100 Days with Tata,['documentary']
1000 Miles from Christmas,"['comedy', 'romance']"
11M: Terror in Madrid,['documentary']
12 Gifts of Christmas,"['comedy', 'romance']"
12 Mighty Orphans,"['history', 'sport']"
12 Strong,"['action', 'drama', 'history', 'war']"
13 Going on 30,"['comedy', 'fantasy', 'romance']"
13 Hours that Saved Britain,"['documentary', 'history', 'war']"
13 Hours: The Secret Soldiers of Benghazi,"['action', 'drama', 'history']"
13 Minutes,"['action', 'drama', 'thriller']"
13: Game of Death,"['comedy', 'crime', 'drama', 'horror', 'mystery', 'thriller']"
14 Peaks: Nothing Is Impossible,"['documentary', 'adventure', 'sport']"
1408,"['fantasy', 'horror', 'mystery']"
17 Again,"['comedy', 'drama', 'fantasy', 'romance', 'sport']"
18 Again,"['comedy', 'drama', 'fantasy', 'romance']"
1917,"['action', 'drama', 'war']"
2 Good 2 Be True,"['comedy', 'drama', 'romance']"
2 Guns,"['action', 'thriller']"
2 Hearts,"['drama', 'romance']"
2 Weeks in Lagos,['romance']
200 Pounds Beauty,"['comedy', 'drama', 'music', 'romance']"
2012,['short']
2020,"['crime', 'drama', 'thriller']"
21,"['crime', 'drama', 'history', 'thriller']"
21 Bridges,"['action', 'crime', 'drama', 'thriller']"
21 Jump Street,"['action', 'comedy', 'crime']"
211,"['action', 'drama', 'thriller']"
22 July,"['crime', 'drama', 'history', 'thriller']"
28 Days,"['comedy', 'drama']"
3 Days to Kill,"['action', 'drama', 'thriller']"
3 From Hell,"['action', 'horror']"
3 Idiots,"['comedy', 'drama']"
3 idiotas,['comedy']
30 Minutes or Less,"['action', 'comedy', 'crime']"
30. March,"['crime', 'drama', 'mystery', 'thriller']"
300,"['action', 'drama']"
3000 Miles to Graceland,"['action', 'comedy', 'crime', 'thriller']"
300: Rise of an Empire,"['action', 'drama']"
32 Malasana Street,"['horror', 'mystery']"
365 Days,"['drama', 'romance']"
365 Days: This Day,"['drama', 'romance']"
366,['drama']
3:10 to Yuma,"['action', 'crime', 'drama', 'western']"
4 Kings,"['action', 'crime', 'drama', 'thriller']"
40 Years Young,['comedy']
42,"['short', 'horror']"
42 Days of Darkness,"['crime', 'drama', 'mystery', 'thriller']"
438 dagar,"['drama', 'thriller']"
461 Days of Bento,['drama']
47 Meters Down: Uncaged,"['adventure', 'drama', 'horror', 'thriller']"
47 Metres Down,"['adventure', 'drama', 'horror', 'thriller']"
47 Ronin,"['action', 'drama', 'fantasy']"
4N1K Düğün,"['comedy', 'romance']"
6 Underground,"['action', 'thriller']"
60 Days In,['reality-tv']
7 Minutes,['drama']
7 Prisoners,"['crime', 'drama']"
7 Secretaries,"['comedy', 'drama', 'romance']"
8 Mile,"['drama', 'music']"
"8 rzeczy, których nie wiecie o facetach","['comedy', 'romance']"
800 Meters,"['documentary', 'crime']"
88 Minutes,"['crime', 'drama', 'mystery', 'thriller']"
8MM,"['crime', 'drama', 'mystery', 'thriller']"
"9,75",['drama']
90 Minutes in Heaven,['drama']
A Beautiful Wife,['comedy']
A Boy Called Christmas,"['adventure', 'drama', 'family', 'fantasy']"
A California Christmas: City Lights,"['comedy', 'drama', 'romance']"
A Call to Spy,"['biography', 'crime', 'drama', 'thriller', 'war']"
A Castle For Christmas,"['adventure', 'comedy', 'drama', 'family', 'romance']"
A Cinderella Story,"['comedy', 'family', 'romance']"
A Classic Horror Story,"['drama', 'horror', 'mystery', 'thriller']"
A Cure for Wellness,"['drama', 'fantasy', 'horror', 'mystery', 'sci-fi', 'thriller']"
A Cut Above,['comedy']
A Day to Die,"['action', 'crime', 'drama', 'thriller']"
A Dog's Journey,"['adventure', 'comedy', 'drama', 'family', 'fantasy']"
A Dog's Way Home,"['adventure', 'drama', 'family']"
A Dream of Splendor,"['drama', 'romance']"
A Family,['drama']
A Family Man,['drama']
A Faraway Land,['drama']
A Fist Full of Lead,"['comedy', 'drama']"
A Girl and A Guy,"['comedy', 'romance']"
A Hard Day,"['action', 'thriller']"
A Korean Odyssey,"['comedy', 'fantasy', 'horror', 'romance']"
A Love to Last,"['comedy', 'drama', 'family', 'music', 'romance']"
A Madea Family Funeral,"['comedy', 'drama']"
A Madea Homecoming,"['comedy', 'drama', 'romance']"
A Man Apart,"['action', 'crime', 'drama', 'thriller']"
A Man Wanted,"['comedy', 'drama', 'romance']"
A Model Family,"['crime', 'drama', 'thriller']"
A Naija Christmas,"['comedy', 'drama', 'romance']"
A Nice Girl Like You,"['comedy', 'romance']"
A Perfect Enemy,"['drama', 'mystery', 'thriller']"
A Perfect Fit,"['comedy', 'drama', 'romance']"
A Perfect Getaway,"['drama', 'mystery', 'thriller']"
A Perfect Pairing,"['comedy', 'romance']"
A Quiet Place,"['drama', 'horror', 'sci-fi']"
A Quiet Place Part II,"['drama', 'horror', 'sci-fi', 'thriller']"
A Score to Settle,"['action', 'crime', 'drama', 'thriller']"
A Second Chance:  Rivals!,"['drama', 'family', 'sport']"
A Second Chance: Rivals!,"['drama', 'family', 'sport']"
A Simple Favor,"['comedy', 'crime', 'mystery', 'thriller']"
A Sinister Sect: Colonia Dignidad,"['documentary', 'crime']"
A Stand Worthy of Men,"['comedy', 'drama']"
A Star Is Born,"['drama', 'music', 'romance']"
A Tale Dark & Grimm,"['animation', 'action', 'adventure', 'comedy', 'family', 'fantasy']"
A Time to Kill,"['short', 'thriller']"
A Violent Man,['crime']
A Violent Prosecutor,"['action', 'crime', 'thriller']"
A Walk Among the Tombstones,"['action', 'crime', 'drama', 'mystery', 'thriller']"
A Walk to Remember,"['short', 'comedy']"
A Way Back Home,['drama']
A Werewolf Boy,"['drama', 'fantasy', 'romance']"
A Woman With No Filter,['drama']
A World Without,"['drama', 'mystery', 'sci-fi', 'thriller']"
